run,metric,val
deepsjeng-262144-1,ipc,1.95091
deepsjeng-262144-1,dcache_miss,1.828%
deepsjeng-262144-1,dcache_miss_compulsory,0.0398
deepsjeng-262144-1,dcache_miss_capacity,0.0000
deepsjeng-262144-1,dcache_miss_conflict,0.9602
deepsjeng-262144-4,ipc,1.97584
deepsjeng-262144-4,dcache_miss,0.296%
deepsjeng-262144-4,dcache_miss_compulsory,0.2459
deepsjeng-262144-4,dcache_miss_capacity,0.4210
deepsjeng-262144-4,dcache_miss_conflict,0.3330
deepsjeng-262144-64,ipc,1.97656
deepsjeng-262144-64,dcache_miss,0.291%
deepsjeng-262144-64,dcache_miss_compulsory,0.2502
deepsjeng-262144-64,dcache_miss_capacity,0.6048
deepsjeng-262144-64,dcache_miss_conflict,0.1450
deepsjeng-32768-4,ipc,1.96893
deepsjeng-32768-4,dcache_miss,1.052%
deepsjeng-32768-4,dcache_miss_compulsory,0.0692
deepsjeng-32768-4,dcache_miss_capacity,0.9179
deepsjeng-32768-4,dcache_miss_conflict,0.0129
deepsjeng-4096-1,ipc,1.69220
deepsjeng-4096-1,dcache_miss,18.810%
deepsjeng-4096-1,dcache_miss_compulsory,0.0039
deepsjeng-4096-1,dcache_miss_capacity,0.9960
deepsjeng-4096-1,dcache_miss_conflict,0.0001
deepsjeng-4096-4,ipc,1.77999
deepsjeng-4096-4,dcache_miss,11.687%
deepsjeng-4096-4,dcache_miss_compulsory,0.0062
deepsjeng-4096-4,dcache_miss_capacity,0.9938
deepsjeng-4096-4,dcache_miss_conflict,0.0000
deepsjeng-4096-64,ipc,1.78264
deepsjeng-4096-64,dcache_miss,11.046%
deepsjeng-4096-64,dcache_miss_compulsory,0.0066
deepsjeng-4096-64,dcache_miss_capacity,0.9934
deepsjeng-4096-64,dcache_miss_conflict,0.0000
exchange2-262144-1,ipc,2.41137
exchange2-262144-1,dcache_miss,0.002%
exchange2-262144-1,dcache_miss_compulsory,0.3278
exchange2-262144-1,dcache_miss_capacity,0.0000
exchange2-262144-1,dcache_miss_conflict,0.6722
exchange2-262144-4,ipc,2.41137
exchange2-262144-4,dcache_miss,0.002%
exchange2-262144-4,dcache_miss_compulsory,0.3278
exchange2-262144-4,dcache_miss_capacity,0.0000
exchange2-262144-4,dcache_miss_conflict,0.6722
exchange2-262144-64,ipc,2.41137
exchange2-262144-64,dcache_miss,0.002%
exchange2-262144-64,dcache_miss_compulsory,0.3278
exchange2-262144-64,dcache_miss_capacity,0.0000
exchange2-262144-64,dcache_miss_conflict,0.6722
exchange2-32768-4,ipc,2.41137
exchange2-32768-4,dcache_miss,0.002%
exchange2-32768-4,dcache_miss_compulsory,0.3278
exchange2-32768-4,dcache_miss_capacity,0.0000
exchange2-32768-4,dcache_miss_conflict,0.6722
exchange2-4096-1,ipc,2.29915
exchange2-4096-1,dcache_miss,6.081%
exchange2-4096-1,dcache_miss_compulsory,0.0001
exchange2-4096-1,dcache_miss_capacity,0.9955
exchange2-4096-1,dcache_miss_conflict,0.0044
exchange2-4096-4,ipc,2.35722
exchange2-4096-4,dcache_miss,3.939%
exchange2-4096-4,dcache_miss_compulsory,0.0001
exchange2-4096-4,dcache_miss_capacity,0.9975
exchange2-4096-4,dcache_miss_conflict,0.0023
exchange2-4096-64,ipc,2.30757
exchange2-4096-64,dcache_miss,3.420%
exchange2-4096-64,dcache_miss_compulsory,0.0002
exchange2-4096-64,dcache_miss_capacity,0.9998
exchange2-4096-64,dcache_miss_conflict,0.0000
leela_s_base-262144-1,ipc,1.62037
leela_s_base-262144-1,dcache_miss,0.160%
leela_s_base-262144-1,dcache_miss_compulsory,0.0701
leela_s_base-262144-1,dcache_miss_capacity,0.0000
leela_s_base-262144-1,dcache_miss_conflict,0.9299
leela_s_base-262144-4,ipc,1.62639
leela_s_base-262144-4,dcache_miss,0.034%
leela_s_base-262144-4,dcache_miss_compulsory,0.3259
leela_s_base-262144-4,dcache_miss_capacity,0.0000
leela_s_base-262144-4,dcache_miss_conflict,0.6741
leela_s_base-262144-64,ipc,1.62626
leela_s_base-262144-64,dcache_miss,0.018%
leela_s_base-262144-64,dcache_miss_compulsory,0.6124
leela_s_base-262144-64,dcache_miss_capacity,0.0000
leela_s_base-262144-64,dcache_miss_conflict,0.3876
leela_s_base-32768-4,ipc,1.61156
leela_s_base-32768-4,dcache_miss,1.068%
leela_s_base-32768-4,dcache_miss_compulsory,0.0105
leela_s_base-32768-4,dcache_miss_capacity,0.9110
leela_s_base-32768-4,dcache_miss_conflict,0.0785
leela_s_base-4096-1,ipc,1.45774
leela_s_base-4096-1,dcache_miss,12.178%
leela_s_base-4096-1,dcache_miss_compulsory,0.0009
leela_s_base-4096-1,dcache_miss_capacity,0.9988
leela_s_base-4096-1,dcache_miss_conflict,0.0003
leela_s_base-4096-4,ipc,1.54090
leela_s_base-4096-4,dcache_miss,4.904%
leela_s_base-4096-4,dcache_miss_compulsory,0.0023
leela_s_base-4096-4,dcache_miss_capacity,0.9974
leela_s_base-4096-4,dcache_miss_conflict,0.0003
leela_s_base-4096-64,ipc,1.56640
leela_s_base-4096-64,dcache_miss,2.936%
leela_s_base-4096-64,dcache_miss_compulsory,0.0038
leela_s_base-4096-64,dcache_miss_capacity,0.9961
leela_s_base-4096-64,dcache_miss_conflict,0.0000
mcf_s_base-262144-1,ipc,0.72971
mcf_s_base-262144-1,dcache_miss,23.027%
mcf_s_base-262144-1,dcache_miss_compulsory,0.0352
mcf_s_base-262144-1,dcache_miss_capacity,0.9636
mcf_s_base-262144-1,dcache_miss_conflict,0.0012
mcf_s_base-262144-4,ipc,0.73694
mcf_s_base-262144-4,dcache_miss,21.663%
mcf_s_base-262144-4,dcache_miss_compulsory,0.0375
mcf_s_base-262144-4,dcache_miss_capacity,0.9615
mcf_s_base-262144-4,dcache_miss_conflict,0.0011
mcf_s_base-262144-64,ipc,0.73694
mcf_s_base-262144-64,dcache_miss,21.639%
mcf_s_base-262144-64,dcache_miss_compulsory,0.0375
mcf_s_base-262144-64,dcache_miss_capacity,0.9619
mcf_s_base-262144-64,dcache_miss_conflict,0.0006
mcf_s_base-32768-4,ipc,0.72151
mcf_s_base-32768-4,dcache_miss,25.208%
mcf_s_base-32768-4,dcache_miss_compulsory,0.0322
mcf_s_base-32768-4,dcache_miss_capacity,0.9677
mcf_s_base-32768-4,dcache_miss_conflict,0.0001
mcf_s_base-4096-1,ipc,0.66284
mcf_s_base-4096-1,dcache_miss,40.147%
mcf_s_base-4096-1,dcache_miss_compulsory,0.0202
mcf_s_base-4096-1,dcache_miss_capacity,0.9798
mcf_s_base-4096-1,dcache_miss_conflict,0.0000
mcf_s_base-4096-4,ipc,0.67779
mcf_s_base-4096-4,dcache_miss,34.841%
mcf_s_base-4096-4,dcache_miss_compulsory,0.0233
mcf_s_base-4096-4,dcache_miss_capacity,0.9767
mcf_s_base-4096-4,dcache_miss_conflict,0.0000
mcf_s_base-4096-64,ipc,0.67911
mcf_s_base-4096-64,dcache_miss,34.596%
mcf_s_base-4096-64,dcache_miss_compulsory,0.0235
mcf_s_base-4096-64,dcache_miss_capacity,0.9765
mcf_s_base-4096-64,dcache_miss_conflict,0.0000
omnetpp-262144-1,ipc,1.26288
omnetpp-262144-1,dcache_miss,4.763%
omnetpp-262144-1,dcache_miss_compulsory,0.1292
omnetpp-262144-1,dcache_miss_capacity,0.8157
omnetpp-262144-1,dcache_miss_conflict,0.0551
omnetpp-262144-4,ipc,1.27498
omnetpp-262144-4,dcache_miss,3.729%
omnetpp-262144-4,dcache_miss_compulsory,0.1650
omnetpp-262144-4,dcache_miss_capacity,0.8230
omnetpp-262144-4,dcache_miss_conflict,0.0119
omnetpp-262144-64,ipc,1.27936
omnetpp-262144-64,dcache_miss,3.624%
omnetpp-262144-64,dcache_miss_compulsory,0.1698
omnetpp-262144-64,dcache_miss_capacity,0.8259
omnetpp-262144-64,dcache_miss_conflict,0.0043
omnetpp-32768-4,ipc,1.23721
omnetpp-32768-4,dcache_miss,6.546%
omnetpp-32768-4,dcache_miss_compulsory,0.0940
omnetpp-32768-4,dcache_miss_capacity,0.9053
omnetpp-32768-4,dcache_miss_conflict,0.0007
omnetpp-4096-1,ipc,1.08955
omnetpp-4096-1,dcache_miss,34.760%
omnetpp-4096-1,dcache_miss_compulsory,0.0177
omnetpp-4096-1,dcache_miss_capacity,0.9822
omnetpp-4096-1,dcache_miss_conflict,0.0001
omnetpp-4096-4,ipc,1.09936
omnetpp-4096-4,dcache_miss,28.838%
omnetpp-4096-4,dcache_miss_compulsory,0.0213
omnetpp-4096-4,dcache_miss_capacity,0.9787
omnetpp-4096-4,dcache_miss_conflict,0.0000
omnetpp-4096-64,ipc,1.09226
omnetpp-4096-64,dcache_miss,28.163%
omnetpp-4096-64,dcache_miss_compulsory,0.0219
omnetpp-4096-64,dcache_miss_capacity,0.9781
omnetpp-4096-64,dcache_miss_conflict,0.0000
perlbench_s_base-262144-1,ipc,1.32588
perlbench_s_base-262144-1,dcache_miss,2.765%
perlbench_s_base-262144-1,dcache_miss_compulsory,0.0268
perlbench_s_base-262144-1,dcache_miss_capacity,0.0000
perlbench_s_base-262144-1,dcache_miss_conflict,0.9732
perlbench_s_base-262144-4,ipc,1.33642
perlbench_s_base-262144-4,dcache_miss,1.717%
perlbench_s_base-262144-4,dcache_miss_compulsory,0.0431
perlbench_s_base-262144-4,dcache_miss_capacity,0.9276
perlbench_s_base-262144-4,dcache_miss_conflict,0.0293
perlbench_s_base-262144-64,ipc,1.34064
perlbench_s_base-262144-64,dcache_miss,1.530%
perlbench_s_base-262144-64,dcache_miss_compulsory,0.0484
perlbench_s_base-262144-64,dcache_miss_capacity,0.9418
perlbench_s_base-262144-64,dcache_miss_conflict,0.0099
perlbench_s_base-32768-4,ipc,1.29024
perlbench_s_base-32768-4,dcache_miss,4.401%
perlbench_s_base-32768-4,dcache_miss_compulsory,0.0168
perlbench_s_base-32768-4,dcache_miss_capacity,0.9825
perlbench_s_base-32768-4,dcache_miss_conflict,0.0007
perlbench_s_base-4096-1,ipc,1.13704
perlbench_s_base-4096-1,dcache_miss,25.578%
perlbench_s_base-4096-1,dcache_miss_compulsory,0.0029
perlbench_s_base-4096-1,dcache_miss_capacity,0.9970
perlbench_s_base-4096-1,dcache_miss_conflict,0.0001
perlbench_s_base-4096-4,ipc,1.17457
perlbench_s_base-4096-4,dcache_miss,16.964%
perlbench_s_base-4096-4,dcache_miss_compulsory,0.0044
perlbench_s_base-4096-4,dcache_miss_capacity,0.9956
perlbench_s_base-4096-4,dcache_miss_conflict,0.0000
perlbench_s_base-4096-64,ipc,1.20665
perlbench_s_base-4096-64,dcache_miss,14.065%
perlbench_s_base-4096-64,dcache_miss_compulsory,0.0053
perlbench_s_base-4096-64,dcache_miss_capacity,0.9947
perlbench_s_base-4096-64,dcache_miss_conflict,0.0000
sgcc_base-262144-1,ipc,1.23488
sgcc_base-262144-1,dcache_miss,2.071%
sgcc_base-262144-1,dcache_miss_compulsory,0.0466
sgcc_base-262144-1,dcache_miss_capacity,0.7494
sgcc_base-262144-1,dcache_miss_conflict,0.2040
sgcc_base-262144-4,ipc,1.24303
sgcc_base-262144-4,dcache_miss,0.531%
sgcc_base-262144-4,dcache_miss_compulsory,0.1819
sgcc_base-262144-4,dcache_miss_capacity,0.6910
sgcc_base-262144-4,dcache_miss_conflict,0.1271
sgcc_base-262144-64,ipc,1.24334
sgcc_base-262144-64,dcache_miss,0.516%
sgcc_base-262144-64,dcache_miss_compulsory,0.1869
sgcc_base-262144-64,dcache_miss_capacity,0.7447
sgcc_base-262144-64,dcache_miss_conflict,0.0684
sgcc_base-32768-4,ipc,1.22995
sgcc_base-32768-4,dcache_miss,3.013%
sgcc_base-32768-4,dcache_miss_compulsory,0.0320
sgcc_base-32768-4,dcache_miss_capacity,0.9641
sgcc_base-32768-4,dcache_miss_conflict,0.0038
sgcc_base-4096-1,ipc,1.10813
sgcc_base-4096-1,dcache_miss,25.636%
sgcc_base-4096-1,dcache_miss_compulsory,0.0038
sgcc_base-4096-1,dcache_miss_capacity,0.9961
sgcc_base-4096-1,dcache_miss_conflict,0.0001
sgcc_base-4096-4,ipc,1.13008
sgcc_base-4096-4,dcache_miss,17.981%
sgcc_base-4096-4,dcache_miss_compulsory,0.0054
sgcc_base-4096-4,dcache_miss_capacity,0.9946
sgcc_base-4096-4,dcache_miss_conflict,0.0000
sgcc_base-4096-64,ipc,1.13570
sgcc_base-4096-64,dcache_miss,16.400%
sgcc_base-4096-64,dcache_miss_compulsory,0.0059
sgcc_base-4096-64,dcache_miss_capacity,0.9941
sgcc_base-4096-64,dcache_miss_conflict,0.0000
specrand_i-262144-1,ipc,2.65947
specrand_i-262144-1,dcache_miss,0.052%
specrand_i-262144-1,dcache_miss_compulsory,0.0092
specrand_i-262144-1,dcache_miss_capacity,0.0000
specrand_i-262144-1,dcache_miss_conflict,0.9908
specrand_i-262144-4,ipc,2.65942
specrand_i-262144-4,dcache_miss,0.002%
specrand_i-262144-4,dcache_miss_compulsory,0.2557
specrand_i-262144-4,dcache_miss_capacity,0.0000
specrand_i-262144-4,dcache_miss_conflict,0.7443
specrand_i-262144-64,ipc,2.65942
specrand_i-262144-64,dcache_miss,0.002%
specrand_i-262144-64,dcache_miss_compulsory,0.2557
specrand_i-262144-64,dcache_miss_capacity,0.0000
specrand_i-262144-64,dcache_miss_conflict,0.7443
specrand_i-32768-4,ipc,2.65942
specrand_i-32768-4,dcache_miss,0.002%
specrand_i-32768-4,dcache_miss_compulsory,0.2557
specrand_i-32768-4,dcache_miss_capacity,0.0000
specrand_i-32768-4,dcache_miss_conflict,0.7443
specrand_i-4096-1,ipc,2.43943
specrand_i-4096-1,dcache_miss,15.721%
specrand_i-4096-1,dcache_miss_compulsory,0.0000
specrand_i-4096-1,dcache_miss_capacity,0.9992
specrand_i-4096-1,dcache_miss_conflict,0.0008
specrand_i-4096-4,ipc,2.56864
specrand_i-4096-4,dcache_miss,6.533%
specrand_i-4096-4,dcache_miss_compulsory,0.0001
specrand_i-4096-4,dcache_miss_capacity,0.9997
specrand_i-4096-4,dcache_miss_conflict,0.0002
specrand_i-4096-64,ipc,2.49650
specrand_i-4096-64,dcache_miss,8.175%
specrand_i-4096-64,dcache_miss_compulsory,0.0001
specrand_i-4096-64,dcache_miss_capacity,0.9999
specrand_i-4096-64,dcache_miss_conflict,0.0000
x264-262144-1,ipc,2.82664
x264-262144-1,dcache_miss,4.195%
x264-262144-1,dcache_miss_compulsory,0.0624
x264-262144-1,dcache_miss_capacity,0.9287
x264-262144-1,dcache_miss_conflict,0.0089
x264-262144-4,ipc,2.82728
x264-262144-4,dcache_miss,4.121%
x264-262144-4,dcache_miss_compulsory,0.0635
x264-262144-4,dcache_miss_capacity,0.9277
x264-262144-4,dcache_miss_conflict,0.0088
x264-262144-64,ipc,2.83175
x264-262144-64,dcache_miss,4.100%
x264-262144-64,dcache_miss_compulsory,0.0638
x264-262144-64,dcache_miss_capacity,0.9273
x264-262144-64,dcache_miss_conflict,0.0089
x264-32768-4,ipc,2.83331
x264-32768-4,dcache_miss,4.123%
x264-32768-4,dcache_miss_compulsory,0.0635
x264-32768-4,dcache_miss_capacity,0.9355
x264-32768-4,dcache_miss_conflict,0.0010
x264-4096-1,ipc,2.72943
x264-4096-1,dcache_miss,10.699%
x264-4096-1,dcache_miss_compulsory,0.0245
x264-4096-1,dcache_miss_capacity,0.9753
x264-4096-1,dcache_miss_conflict,0.0003
x264-4096-4,ipc,2.81425
x264-4096-4,dcache_miss,6.535%
x264-4096-4,dcache_miss_compulsory,0.0400
x264-4096-4,dcache_miss_capacity,0.9599
x264-4096-4,dcache_miss_conflict,0.0001
x264-4096-64,ipc,2.82645
x264-4096-64,dcache_miss,4.757%
x264-4096-64,dcache_miss_compulsory,0.0550
x264-4096-64,dcache_miss_capacity,0.9449
x264-4096-64,dcache_miss_conflict,0.0001
xalancbmk_s_base-262144-1,ipc,1.06941
xalancbmk_s_base-262144-1,dcache_miss,15.497%
xalancbmk_s_base-262144-1,dcache_miss_compulsory,0.0079
xalancbmk_s_base-262144-1,dcache_miss_capacity,0.7966
xalancbmk_s_base-262144-1,dcache_miss_conflict,0.1955
xalancbmk_s_base-262144-4,ipc,1.06233
xalancbmk_s_base-262144-4,dcache_miss,15.273%
xalancbmk_s_base-262144-4,dcache_miss_compulsory,0.0080
xalancbmk_s_base-262144-4,dcache_miss_capacity,0.9852
xalancbmk_s_base-262144-4,dcache_miss_conflict,0.0069
xalancbmk_s_base-262144-64,ipc,1.06036
xalancbmk_s_base-262144-64,dcache_miss,15.314%
xalancbmk_s_base-262144-64,dcache_miss_compulsory,0.0080
xalancbmk_s_base-262144-64,dcache_miss_capacity,0.9901
xalancbmk_s_base-262144-64,dcache_miss_conflict,0.0020
xalancbmk_s_base-32768-4,ipc,1.04355
xalancbmk_s_base-32768-4,dcache_miss,19.770%
xalancbmk_s_base-32768-4,dcache_miss_compulsory,0.0062
xalancbmk_s_base-32768-4,dcache_miss_capacity,0.9934
xalancbmk_s_base-32768-4,dcache_miss_conflict,0.0004
xalancbmk_s_base-4096-1,ipc,0.95827
xalancbmk_s_base-4096-1,dcache_miss,35.954%
xalancbmk_s_base-4096-1,dcache_miss_compulsory,0.0034
xalancbmk_s_base-4096-1,dcache_miss_capacity,0.9965
xalancbmk_s_base-4096-1,dcache_miss_conflict,0.0001
xalancbmk_s_base-4096-4,ipc,1.01438
xalancbmk_s_base-4096-4,dcache_miss,27.976%
xalancbmk_s_base-4096-4,dcache_miss_compulsory,0.0044
xalancbmk_s_base-4096-4,dcache_miss_capacity,0.9956
xalancbmk_s_base-4096-4,dcache_miss_conflict,0.0000
xalancbmk_s_base-4096-64,ipc,1.01658
xalancbmk_s_base-4096-64,dcache_miss,27.301%
xalancbmk_s_base-4096-64,dcache_miss_compulsory,0.0045
xalancbmk_s_base-4096-64,dcache_miss_capacity,0.9955
xalancbmk_s_base-4096-64,dcache_miss_conflict,0.0000
